6.370000000000063523e+01 6.790000000000041780e+01 6.770000000000042917e+01 6.170000000000060680e+01
9.514999999999885461e+01 1.012999999999985192e+02 1.001999999999985818e+02 9.559999999999868692e+01
1.119750000000026802e+02 1.161000000000018844e+02 1.157000000000021060e+02 1.124500000000025182e+02
1.200125000000045077e+02 1.246625000000038312e+02 1.238750000000039648e+02 1.200250000000042405e+02
1.245312500000003979e+02 1.275562500000011994e+02 1.279687500000002416e+02 1.244187500000002444e+02
1.262343749999988489e+02 1.296625000000068439e+02 1.296406250000061959e+02 1.269218749999979678e+02
1.287593750000080206e+02 1.318281250000147224e+02 1.316093750000133582e+02 1.284140625000033822e+02
1.293914062499988233e+02 1.323140625000076511e+02 1.320726562500066166e+02 1.288539062499969816e+02
1.298749999999917861e+02 1.328386718750000171e+02 1.325769531249992781e+02 1.293691406249894840e+02
1.303652343750203215e+02 1.332257812500225498e+02 1.329210937500193097e+02 1.296869140625079808e+02
1.304232421875236980e+02 1.332886718750262105e+02 1.329850585937730330e+02 1.297502929687616700e+02
1.310089355467623307e+02 1.339848632811141158e+02 1.338698730466920210e+02 1.307634277341507811e+02
1.310210937498844999e+02 1.339998535154856256e+02 1.338858154295008092e+02 1.307827880857087735e+02
1.310273071287965365e+02 1.340080322264307426e+02 1.338929443357574485e+02 1.307927124021242662e+02
1.310503295897554779e+02 1.340308898924676555e+02 1.339112609861651322e+02 1.308235534666061142e+02
1.310520385741241114e+02 1.340331512449982938e+02 1.339132507322514698e+02 1.308254791257786280e+02
1.310542404173776276e+02 1.340349792479211715e+02 1.339158370969879286e+02 1.308268859861249496e+02
