4.630000000000038796e+01 5.440000000000050306e+01 5.480000000000050875e+01 5.270000000000047891e+01 4.350000000000034817e+01
7.219999999999892282e+01 7.874999999999911893e+01 7.879999999999914451e+01 7.574999999999917577e+01 6.949999999999887734e+01
8.600000000000206057e+01 8.892500000000143245e+01 8.962500000000160583e+01 8.870000000000212026e+01 8.485000000000236753e+01
9.211250000000345040e+01 9.603750000000304965e+01 9.685000000000324860e+01 9.367500000000325144e+01 9.018750000000358114e+01
9.489375000000092086e+01 9.914375000000022453e+01 9.981875000000054854e+01 9.727499999999997726e+01 9.359375000000048317e+01
9.878749999999737952e+01 1.039718749999958334e+02 1.037062499999970129e+02 1.029687499999947988e+02 9.874687499999579643e+01
1.022703125000100499e+02 1.066531250000055877e+02 1.075812500000111100e+02 1.054156250000037005e+02 1.017484375000067160e+02
1.046718750000187867e+02 1.092179687500149186e+02 1.098695312500194348e+02 1.080281250000132047e+02 1.035945312500134321e+02
1.073167968749802981e+02 1.119136718749756909e+02 1.125925781249798092e+02 1.105378906249766828e+02 1.056539062499834642e+02
1.079082031249716920e+02 1.124314453124681563e+02 1.130810546874727009e+02 1.111242187499681506e+02 1.063753906249729653e+02
1.091876953125461682e+02 1.133039062500189402e+02 1.139215820312716261e+02 1.121031250000251305e+02 1.077559570313033248e+02
1.093113281250533646e+02 1.134638671875282512e+02 1.140274902344027907e+02 1.122653808594095750e+02 1.079304199219384799e+02
1.093452880859829577e+02 1.134986083984576624e+02 1.140619628906447645e+02 1.123109619140864623e+02 1.079636962891182321e+02
1.093514404297315252e+02 1.135053344726748463e+02 1.140672973632997724e+02 1.123173461914287259e+02 1.079694580078668906e+02
1.093817749024160264e+02 1.135478637695894548e+02 1.140964111328581367e+02 1.123508300781786602e+02 1.080164184571293760e+02
1.093841461182385473e+02 1.135517242432258627e+02 1.140989532471183168e+02 1.123537841797439114e+02 1.080200439454140025e+02
1.093861740112973990e+02 1.135539352417527823e+02 1.141014739990620512e+02 1.123555145264171529e+02 1.080230239869068072e+02
