2.157999999999920249e+02 2.196999999999918032e+02 2.202999999999917691e+02 2.175999999999919226e+02 1.872999999999936449e+02
3.135500000000142222e+02 3.196500000000145292e+02 3.180000000000139835e+02 3.141500000000138471e+02 3.124000000000220894e+02
3.556749999999759098e+02 3.579999999999796501e+02 3.576499999999779220e+02 3.543249999999773081e+02 3.478749999999898250e+02
3.618249999999703164e+02 3.647999999999734655e+02 3.641124999999720444e+02 3.619249999999703959e+02 3.542499999999840270e+02
3.677937499999920306e+02 3.707999999999952934e+02 3.703624999999947818e+02 3.681062499999928832e+02 3.623062500000133355e+02
3.829093750000470209e+02 3.865406250000525574e+02 3.863031250000527734e+02 3.829906250000470322e+02 3.738750000000554223e+02
3.854546875000099817e+02 3.888515625000189289e+02 3.882234375000248292e+02 3.861000000000017849e+02 3.761296875000226123e+02
3.871312499999855845e+02 3.906085937499933607e+02 3.902242187499957140e+02 3.874054687499827878e+02 3.774023437500040927e+02
3.891910156251054786e+02 3.921902343750854243e+02 3.921089843751054218e+02 3.889296875000715090e+02 3.795562500001294666e+02
3.897009765626351623e+02 3.927662109376189505e+02 3.925453125001308194e+02 3.895802734376093781e+02 3.799257812501509761e+02
3.902483398437577193e+02 3.935011718749478291e+02 3.931698242187354140e+02 3.903060546874403940e+02 3.808211914061924972e+02
3.905970214843015356e+02 3.938510742186163611e+02 3.935349609374003990e+02 3.905937988279983983e+02 3.811272460936212383e+02
3.906164062499445890e+02 3.938781005858290314e+02 3.935657226561790480e+02 3.906127685545785653e+02 3.811581787108375465e+02
3.906372314452764840e+02 3.938937255858435833e+02 3.935834594726018167e+02 3.906361206053815636e+02 3.811747436522592238e+02
3.906490295409356577e+02 3.939084106443826272e+02 3.935966857909119199e+02 3.906477172850258626e+02 3.811874877928367482e+02
3.906688354490649999e+02 3.939283325193084124e+02 3.936206970212912211e+02 3.906670196531180181e+02 3.812156219480053778e+02
3.906738830565620901e+02 3.939329681394946761e+02 3.936274597167044931e+02 3.906742584227571342e+02 3.812239334105315720e+02
