4.396000000000314571e+02 4.467000000000330715e+02 4.482000000000334126e+02 4.481000000000333898e+02 4.418000000000319574e+02 4.021000000000229306e+02
4.954500000000441560e+02 5.030000000000458726e+02 5.037500000000460432e+02 5.036000000000460091e+02 5.011500000000454520e+02 4.730000000000390514e+02
5.304000000000123691e+02 5.339250000000178034e+02 5.353250000000173259e+02 5.347000000000177806e+02 5.308750000000184173e+02 4.959000000000182240e+02
5.629750000001308763e+02 5.682500000001426770e+02 5.692250000001406534e+02 5.688000000001418357e+02 5.649250000001422904e+02 5.363750000000923137e+02
5.852625000002119577e+02 5.888000000002174374e+02 5.904312500002178012e+02 5.891625000002159140e+02 5.891500000002304205e+02 5.635562500001911985e+02
5.982156250000234650e+02 6.037999999999991587e+02 6.055156249999982947e+02 6.043656249999946795e+02 6.011562500000557066e+02 5.829656249999087549e+02
6.076968749998854946e+02 6.124546874998732164e+02 6.140374999998742851e+02 6.130593749998681687e+02 6.101593749999246938e+02 5.949843749997338591e+02
6.111820312500883574e+02 6.159734375000780346e+02 6.173296875000659156e+02 6.166726562500784894e+02 6.127539062500757154e+02 5.972898437498680551e+02
6.141082031252586830e+02 6.200738281253167088e+02 6.212945312502966999e+02 6.204355468752975185e+02 6.171496093753315790e+02 6.024054687501658236e+02
6.152542968749918373e+02 6.208271484376413127e+02 6.223640625000476803e+02 6.212144531251161652e+02 6.184056640625391310e+02 6.034583984374206693e+02
6.355579101515145339e+02 6.407812499954953864e+02 6.421669921829369514e+02 6.413553710891767423e+02 6.385270507766042556e+02 6.311553710872219654e+02
6.357030761672747303e+02 6.409948730425693384e+02 6.423493164018567541e+02 6.415283691362128593e+02 6.387365722611743877e+02 6.312806640560886535e+02
6.358000976517400886e+02 6.410868408160924901e+02 6.424290771441185370e+02 6.415929199175229769e+02 6.388299804643863808e+02 6.313841552671225372e+02
6.358733276319360357e+02 6.411350097612255468e+02 6.425018310500975076e+02 6.416444946243620961e+02 6.388913574172827339e+02 6.314274413997737838e+02
6.358878234814914094e+02 6.411438110307240095e+02 6.425142944289573279e+02 6.416563659622084970e+02 6.389049560500445750e+02 6.314385681087167086e+02
6.359143035844250562e+02 6.411729919393619639e+02 6.425469604450690895e+02 6.416850433307998856e+02 6.389268371538862539e+02 6.314750854432452343e+02
6.359197570757172571e+02 6.411780746420744208e+02 6.425516143758025009e+02 6.416894760090885939e+02 6.389321166949805502e+02 6.314795745790543151e+02
