1.809999999999998721e+01 2.040000000000001990e+01 2.550000000000009237e+01 2.510000000000008669e+01 2.620000000000010232e+01 2.180000000000003979e+01 2.320000000000005969e+01
6.389999999999837144e+01 8.274999999999729994e+01 8.389999999999723457e+01 8.554999999999714078e+01 8.624999999999710099e+01 7.849999999999754152e+01 7.349999999999782574e+01
8.432500000000298712e+01 9.517500000000012506e+01 1.009750000000011170e+02 1.023750000000009663e+02 1.018250000000006423e+02 9.932500000000227658e+01 9.260000000000216858e+01
1.012750000000068411e+02 1.168000000000050420e+02 1.242750000000064148e+02 1.251125000000061362e+02 1.249875000000059089e+02 1.224500000000075346e+02 1.197250000000083361e+02
1.065937500000020037e+02 1.220375000000002785e+02 1.277500000000032543e+02 1.291312500000024954e+02 1.280875000000031037e+02 1.261375000000041808e+02 1.245437500000039535e+02
1.118343749999972374e+02 1.282656249999958220e+02 1.324500000000192301e+02 1.327875000000157968e+02 1.321906250000180307e+02 1.323906250000184741e+02 1.292781250000054740e+02
1.188187500000226464e+02 1.337515625000157797e+02 1.378765625000389718e+02 1.391078125000387899e+02 1.382843750000401997e+02 1.371046875000356238e+02 1.338546875000221235e+02
1.220031250000342311e+02 1.360453124999824013e+02 1.408601562499955548e+02 1.413789062500057412e+02 1.409351562500016257e+02 1.390046875000079751e+02 1.357703124999942474e+02
1.243230468750004718e+02 1.380132812499537636e+02 1.424468749999724650e+02 1.438124999999703277e+02 1.434195312499654733e+02 1.413812499999733916e+02 1.382519531249581348e+02
1.249046874999920078e+02 1.388626953125032060e+02 1.430691406250086857e+02 1.443822265625034902e+02 1.441458984375077534e+02 1.422195312500221860e+02 1.390285156250033367e+02
1.253420898437674680e+02 1.394132812500352543e+02 1.435752929687881476e+02 1.449102539062842254e+02 1.446105468750347995e+02 1.428882812500611124e+02 1.395676757812847200e+02
1.257696777344173569e+02 1.397660156249531269e+02 1.438505859374740510e+02 1.453170898436895015e+02 1.448522460937285246e+02 1.431761230468690940e+02 1.399823242186881771e+02
1.258991210937622185e+02 1.398572265624318902e+02 1.439444335937022004e+02 1.454112792967925714e+02 1.449509521483930428e+02 1.432670898437229141e+02 1.401172363280317654e+02
1.262114501952519987e+02 1.402020751955655555e+02 1.443507568362681184e+02 1.458157104495129772e+02 1.453443969729782168e+02 1.436317382815625194e+02 1.406248046878794753e+02
1.262476196288794341e+02 1.402642211917171835e+02 1.444093566898383187e+02 1.458661804202631060e+02 1.453866455081738138e+02 1.436810607913740796e+02 1.406656005863549694e+02
1.262571166992007790e+02 1.402773681643244572e+02 1.444196929935107505e+02 1.458815826418854158e+02 1.453973785403603927e+02 1.436929504397672872e+02 1.406817016605137383e+02
1.262600494384476661e+02 1.402798446657800753e+02 1.444222274783645901e+02 1.458833694460779782e+02 1.454003555300953963e+02 1.436950790408335763e+02 1.406837554935138996e+02
