1.031999999999984112e+02 1.270999999999970527e+02 1.400999999999963279e+02 1.500999999999957595e+02 1.551999999999954696e+02 1.556999999999954412e+02 1.555999999999954468e+02 1.568999999999953729e+02 1.569999999999953673e+02 1.506999999999957254e+02
1.563000000000034220e+02 1.950000000000122213e+02 2.135000000000130171e+02 2.208500000000118462e+02 2.259000000000115449e+02 2.275500000000117780e+02 2.262500000000115108e+02 2.266500000000112323e+02 2.252000000000108741e+02 2.215500000000118348e+02
1.887000000000107889e+02 2.356750000000214698e+02 2.557250000000226180e+02 2.663250000000104478e+02 2.731250000000027853e+02 2.679250000000074010e+02 2.681750000000071736e+02 2.678500000000071282e+02 2.660750000000086857e+02 2.650750000000114142e+02
2.138624999999879037e+02 2.620499999999975103e+02 2.794375000000010800e+02 2.857499999999927809e+02 2.888749999999884608e+02 2.901124999999872216e+02 2.904624999999869033e+02 2.901749999999868237e+02 2.894124999999874603e+02 2.853749999999929514e+02
2.221437499999803720e+02 2.711062500000304567e+02 2.884312500000337991e+02 2.926500000000178829e+02 2.952750000000117439e+02 2.961750000000092768e+02 2.958312500000064347e+02 2.957687500000071736e+02 2.952812500000088107e+02 2.933000000000217824e+02
2.314312500000141597e+02 2.774437500000535124e+02 2.962812500000623572e+02 3.006000000000468049e+02 3.031125000000402565e+02 3.050281250000414843e+02 3.043750000000375167e+02 3.041656250000377213e+02 3.035031250000387217e+02 3.022468750000543309e+02
2.338312500000228908e+02 2.800656250000153591e+02 2.983859375000317300e+02 3.031421875000098112e+02 3.053328125000079467e+02 3.066734375000175419e+02 3.067250000000033197e+02 3.061796875000084128e+02 3.053734375000115051e+02 3.040671875000278419e+02
2.375078124999693898e+02 2.845132812499506372e+02 3.013171874999890747e+02 3.073531249999485340e+02 3.099203124999411898e+02 3.108257812499571173e+02 3.108312499999435659e+02 3.105789062499443958e+02 3.094835937499516945e+02 3.084757812499636884e+02
2.385726562499538943e+02 2.854886718750074124e+02 3.020312500000306386e+02 3.080656249999900069e+02 3.105492187499777970e+02 3.118902343750190767e+02 3.118527343750030241e+02 3.114976562499978741e+02 3.105062500000112209e+02 3.091761718750044565e+02
2.426984375001940464e+02 2.922400390629003937e+02 3.075337890628509285e+02 3.132326171877907655e+02 3.156798828127764409e+02 3.167615234378026230e+02 3.168917968752963361e+02 3.165603515627925617e+02 3.154771484378005653e+02 3.144886718753136847e+02
2.431847656252223544e+02 2.926247070315608312e+02 3.078441406252786692e+02 3.135804687502097750e+02 3.160052734377006800e+02 3.172330078126928470e+02 3.172130859377215302e+02 3.169548828127007027e+02 3.158507812502135721e+02 3.148505859377294200e+02
2.434254394532913182e+02 2.928004394533949153e+02 3.080361328127339675e+02 3.137702148439155962e+02 3.162326660157727360e+02 3.174624511720144255e+02 3.174757324220353780e+02 3.171823730470227360e+02 3.160880371095333317e+02 3.150855957032997026e+02
2.435116943360837354e+02 2.928606445315759856e+02 3.081405273440811925e+02 3.138525634768047894e+02 3.163195312502286356e+02 3.175364257814583198e+02 3.175669189455578021e+02 3.172420410158283062e+02 3.161669921877318643e+02 3.151712158205669425e+02
2.435530029298722070e+02 2.928879516605076674e+02 3.081763183597395255e+02 3.138966308596583303e+02 3.163578369143268105e+02 3.175696411135205039e+02 3.176021118166843280e+02 3.172733032228886714e+02 3.161968750002596948e+02 3.152084228518515943e+02
2.435782226564581947e+02 2.929140625002541469e+02 3.081947021487335405e+02 3.139210937501921990e+02 3.163794982911992406e+02 3.175848449708857402e+02 3.176189880373245842e+02 3.172914306642273914e+02 3.162153747560501529e+02 3.152302612306764900e+02
2.435927185060135685e+02 2.929284088136772652e+02 3.082060760500583569e+02 3.139333618165527469e+02 3.163892486573738552e+02 3.175930877687065959e+02 3.176292999269346069e+02 3.173000671388045930e+02 3.162265655519069014e+02 3.152417541505555505e+02
2.436068206788125963e+02 2.929379364017098624e+02 3.082139846805472985e+02 3.139459167483804549e+02 3.164015060428104107e+02 3.176033569338986808e+02 3.176408203128484615e+02 3.173107925417964452e+02 3.162393325809057387e+02 3.152519973758058427e+02
