1.609999999999951399e+02 2.030999999999927468e+02 2.284999999999913030e+02 2.313999999999911381e+02 2.330999999999910415e+02 2.329999999999910472e+02 2.351999999999909221e+02 2.348999999999909392e+02 2.321999999999910926e+02
1.955000000000029843e+02 2.450000000000022737e+02 2.571999999999978286e+02 2.647999999999987040e+02 2.670999999999987722e+02 2.676499999999988972e+02 2.684999999999984652e+02 2.669999999999982379e+02 2.660999999999987722e+02
2.096750000000062073e+02 2.584000000000025921e+02 2.712249999999850729e+02 2.765999999999879719e+02 2.793999999999875854e+02 2.808249999999869146e+02 2.814499999999866873e+02 2.795749999999868010e+02 2.782999999999876763e+02
2.400874999999785473e+02 2.863749999999771489e+02 2.943624999999640295e+02 3.000999999999665988e+02 3.008499999999680767e+02 3.019374999999677129e+02 3.017874999999681904e+02 3.005124999999677584e+02 3.002624999999677016e+02
2.596812499999774673e+02 3.007000000000292630e+02 3.143312500000366754e+02 3.204687500000406999e+02 3.215937500000435421e+02 3.234312500000459067e+02 3.223375000000429509e+02 3.218687500000454520e+02 3.212125000000439172e+02
2.707187500000176215e+02 3.130500000000741920e+02 3.254500000000771252e+02 3.286531250000704745e+02 3.306531250000764999e+02 3.311531250000739988e+02 3.313750000000758291e+02 3.312187500000794671e+02 3.301875000000765681e+02
2.839921874998244675e+02 3.212406249999550027e+02 3.355374999999303327e+02 3.392718749999159513e+02 3.406234374999314127e+02 3.419312499999171564e+02 3.413124999999312195e+02 3.411296874999352440e+02 3.399453124999345732e+02
2.856335937498005819e+02 3.242335937499114493e+02 3.377906249998975454e+02 3.413664062498854719e+02 3.432210937498936119e+02 3.439898437498871999e+02 3.439382812498930093e+02 3.434374999999016609e+02 3.424117187498986823e+02
2.873476562499003535e+02 3.265652343750471687e+02 3.396984375000085947e+02 3.435906250000149385e+02 3.457261718750394266e+02 3.464199218750286491e+02 3.464671875000402110e+02 3.457562500000366299e+02 3.449042968750437694e+02
2.893970703125196451e+02 3.280726562501349122e+02 3.413064453126021931e+02 3.459244140626507829e+02 3.480267578126733383e+02 3.487251953126628337e+02 3.487847656251751118e+02 3.480097656251678018e+02 3.472701171876814783e+02
2.897619140624346983e+02 3.283665039063164954e+02 3.416916992187624942e+02 3.462516601563245899e+02 3.482406250001235435e+02 3.490297851563419158e+02 3.490943359376030344e+02 3.482789062501051376e+02 3.475057617188766130e+02
2.898824707030316290e+02 3.285537109375229079e+02 3.418940429687153824e+02 3.464258789062840265e+02 3.484466796875755676e+02 3.491734375000584691e+02 3.492527343750661544e+02 3.484141113281986577e+02 3.476329589844719976e+02
2.900366699219252382e+02 3.287498779298931026e+02 3.420416503907278525e+02 3.465728027345458599e+02 3.485795410158243044e+02 3.492930664064198822e+02 3.493892089845682563e+02 3.485941162111788003e+02 3.477859863283645154e+02
2.901289184571674014e+02 3.288989135745631529e+02 3.421815063478893535e+02 3.466832275393362011e+02 3.486873779299872353e+02 3.494023681643341774e+02 3.494851074221575686e+02 3.487227416995798421e+02 3.478927978519014914e+02
2.901469543457720874e+02 3.289165832522317032e+02 3.421990600587614608e+02 3.467075439454956154e+02 3.487148620607442240e+02 3.494275024415842950e+02 3.495024719240460058e+02 3.487466918948031207e+02 3.479195007326613904e+02
2.901774597167521961e+02 3.289538177491633064e+02 3.422213409424675206e+02 3.467364715576925391e+02 3.487449615479367822e+02 3.494556823731199415e+02 3.495260284425129385e+02 3.487764251710595431e+02 3.479481353761094056e+02
2.901815551757975982e+02 3.289580718996173232e+02 3.422265518190100124e+02 3.467401123048171030e+02 3.487504241945025569e+02 3.494597839356810596e+02 3.495301681520472812e+02 3.487825393679279955e+02 3.479542312624307101e+02
