2022-10-31 13:18:03,052 [INFO] run_saw.<module>:339 running SAWs with the parameters: density=0.4, n_boxes=(17, 17), thicknesses=([4],[4])
2022-10-31 13:18:03,052 [INFO] run_saw.run:246 calculating maximal number of monomers...
2022-10-31 13:18:03,052 [INFO] run_saw.run:249 max_n=114
2022-10-31 13:18:03,052 [INFO] run_saw.run:253 getting cached OR calculating from the scratch..
2022-10-31 13:18:12,475 [INFO] aux.get_grow_caches:351 shape of existing cache is (129, 50, 50, 50), shape of query is: (115, 50, 50, 50)
2022-10-31 13:18:12,475 [INFO] run_saw.run:256 done calculating (n,dx,dy,dz) array
2022-10-31 13:18:12,475 [INFO] run_saw.run:264 boxes: [[17, 4, 4]] for thickness_x=4, thickness_y=4
2022-10-31 13:18:12,475 [INFO] run_saw.run:279 running WL_saw with n=108,  box=[17, 4, 4]
2022-10-31 13:18:12,475 [INFO] run_saw.run:290 ([16, 17, 18, 19, 20, 21, 22, 23], [3, 4, 5, 6, 7, 8, 9, 10], [3, 4, 5, 6, 7, 8, 9, 10])
2022-10-31 13:18:12,476 [INFO] run_saw.run:296 {'extend_to_left': 1, 'extend_to_right': 6, 'flatness': 0.3, 'scale_alpha': 3.0}
2022-10-31 13:18:12,476 [INFO] simulation.WL_saw:193 s size is: 8
2022-10-31 13:18:12,476 [INFO] simulation.WL_saw:194 counts size is: 8
2022-10-31 13:18:12,476 [INFO] simulation.WL_saw:196 indexes: [0, 1, 2, 3, 4, 5, 6, 7]
2022-10-31 13:18:12,476 [INFO] simulation.WL_saw:208 scale alpha is: 3.000000
2022-10-31 13:18:12,476 [INFO] simulation.WL_saw:209 shifl alpha is: -0.000000
2022-10-31 13:19:10,632 [INFO] simulation.WL_saw:288 failed to grow rate: 83%, out of range:  1% 
2022-10-31 13:20:08,736 [INFO] simulation.WL_saw:288 failed to grow rate: 82%, out of range:  1% 
2022-10-31 13:21:07,049 [INFO] simulation.WL_saw:288 failed to grow rate: 83%, out of range:  1% 
2022-10-31 13:22:05,284 [INFO] simulation.WL_saw:288 failed to grow rate: 83%, out of range:  1% 
2022-10-31 13:23:03,534 [INFO] simulation.WL_saw:288 failed to grow rate: 82%, out of range:  1% 
2022-10-31 13:24:01,760 [INFO] simulation.WL_saw:288 failed to grow rate: 83%, out of range:  1% 
2022-10-31 13:24:59,987 [INFO] simulation.WL_saw:288 failed to grow rate: 82%, out of range:  1% 
2022-10-31 13:25:58,199 [INFO] simulation.WL_saw:288 failed to grow rate: 82%, out of range:  1% 
2022-10-31 13:26:56,512 [INFO] simulation.WL_saw:288 failed to grow rate: 82%, out of range:  1% 
2022-10-31 13:27:54,833 [INFO] simulation.WL_saw:288 failed to grow rate: 83%, out of range:  1% 
2022-10-31 13:27:54,833 [INFO] simulation.WL_saw:293 ds=5.000000e-02, ds_min=0.000001, sweep number=10
2022-10-31 13:28:53,097 [INFO] simulation.WL_saw:288 failed to grow rate: 82%, out of range:  1% 
2022-10-31 13:29:51,380 [INFO] simulation.WL_saw:288 failed to grow rate: 82%, out of range:  1% 
2022-10-31 13:30:49,766 [INFO] simulation.WL_saw:288 failed to grow rate: 82%, out of range:  1% 
2022-10-31 13:31:48,156 [INFO] simulation.WL_saw:288 failed to grow rate: 82%, out of range:  1% 
2022-10-31 13:32:46,389 [INFO] simulation.WL_saw:288 failed to grow rate: 83%, out of range:  1% 
2022-10-31 13:33:44,661 [INFO] simulation.WL_saw:288 failed to grow rate: 83%, out of range:  1% 
2022-10-31 13:34:43,018 [INFO] simulation.WL_saw:288 failed to grow rate: 82%, out of range:  1% 
2022-10-31 13:35:41,155 [INFO] simulation.WL_saw:288 failed to grow rate: 83%, out of range:  1% 
2022-10-31 13:36:39,445 [INFO] simulation.WL_saw:288 failed to grow rate: 82%, out of range:  1% 
2022-10-31 13:36:39,445 [INFO] simulation.WL_saw:293 ds=2.500000e-02, ds_min=0.000001, sweep number=19
2022-10-31 13:37:37,813 [INFO] simulation.WL_saw:288 failed to grow rate: 82%, out of range:  1% 
2022-10-31 13:38:36,061 [INFO] simulation.WL_saw:288 failed to grow rate: 83%, out of range:  1% 
